"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
28,"NCT03581461","Trauma-Informed Mindfulness-Based Yoga","TIMBY","Not yet recruiting","No Results Available","Trauma","Behavioral: Trauma-Informed Mindfulness-Based Yoga","Changes in self-regulation as assessed by the Abbreviated Dysregulation Inventory (ADI)|Changes in externalizing and internalizing behavior as assessed by The Child Behavior Checklist - Youth Self-Report (YSR).|Changes in anger as assessed by the State-Trait Anger Expression Inventory (STAXI-2)|Changes in trauma-related symptoms as assessed by the Structured Trauma-Related Experiences and Symptoms Screener (STRESS)|Changes in impulsivity as assessed by the Barratt Impulsiveness Scale (BIS)|Changes in psychological flexibility as assessed by the Acceptance and Action Questionnaire (AAQ-II)|Changes in mindfulness as assessed by the Cognitive and Affective Mindfulness Scale-Revised (CAMS-R)","Georgia State University|Kaiser Foundation Research Institute|UConn Health|Emory University","Male","13 Years to 17 Years   (Child)","Not Applicable","130","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","R34AT009538","September 2018","February 2020","March 2020","July 10, 2018","null","August 22, 2018","Georgia State University, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT03581461"
29,"NCT03575975","3D X-ray Motion Analysis of Ankle-foot Motion After Total Ankle Arthroplasty",,"Enrolling by invitation","No Results Available","Ankle Arthroplasty|Prosthesis User|Joint Disease","Device: Total Ankle Replacement Prosthesis","Tibiotalar joint kinematics|Subtalar joint kinematics","Georgia Institute of Technology|Emory University|Stryker Orthopaedics","All","18 Years to 79 Years   (Adult, Older Adult)","","15","Other|Industry","Observational","Observational Model: Cohort|Time Perspective: Cross-Sectional","Ankle XMA Project","May 30, 2018","May 29, 2019","May 29, 2019","July 3, 2018","null","July 3, 2018","Georgia Institute of Technology, Atlanta, Georgia, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/75/NCT03575975/Prot_SAP_000.pdf|""Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/75/NCT03575975/ICF_001.pdf","https://ClinicalTrials.gov/show/NCT03575975"
30,"NCT03574441","Intrapartum Epidural Catheter Displacement: Dressing Methods",,"Completed","No Results Available","Analgesia, Obstetrical","Device: Tegaderm dressing + catheter support pad|Device: Tegaderm dressing + Steri-strip dressing|Device: Tegaderm dressing only","Epidural catheter migration in centimeters|Rate of epidural catheter replacement","Augusta University","Female","18 Years and older   (Adult, Older Adult)","Not Applicable","91","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","1048027","December 4, 2017","March 11, 2018","March 18, 2018","July 2, 2018","null","July 2, 2018","Augusta University, Augusta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT03574441"
31,"NCT03564587","Improving Health-Promoting Behaviors in Adolescent Cancer Survivors Using AWAKE: A Feasibility Trial","CHOA AWAKE","Recruiting","No Results Available","Health Behavior","Behavioral: AWAKE","Change in the he Children's Hope Scale score|Change in the Pediatric Quality of Life Inventory (PedsQL), 4.0 scale score|Change in number of servings of fruits and vegetables|Change in number of physical activity hours per day|Change in number of screen time hours per day|Change in PROMIS score|Usability of AWAKE|Satisfaction with AWAKE","Emory University","All","13 Years to 17 Years   (Child)","Not Applicable","48","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care","IRB00099050","June 20, 2018","February 2021","February 2021","June 21, 2018","null","June 25, 2018","Children's Healthcare of Atlanta, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT03564587"
32,"NCT03562767","Cognitive Behavioral Therapy for African Americans With Uncontrolled Type-2 Diabetes",,"Recruiting","No Results Available","Diabetes Mellitus, Type 2","Behavioral: Group-based Cognitive Behavioral Intervention|Behavioral: Web-based Cognitive Behavioral Intervention|Behavioral: Usual Care","Percentage of participants that complete the study compared to enrolled|Percentage of participants that are enrolled and attend the study the study sessions compared to enrolled|Change in Hemoglobin A1c (HbA1C) Level|Change in Patient Health Questionnaire (PHQ-9) Score|Change in Diabetes Distress Scale (DDS17) Score|Change in 12-Item Short Form Health Survey (SF-12) Score|Change in Generalized Anxiety Disorder 7-item (GAD-7) Scale Score|Change in Self Efficacy for Diabetes|Change in Diabetes Health Belief Scale","Emory University|National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)","All","18 Years and older   (Adult, Older Adult)","Not Applicable","45","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Supportive Care","IRB00101847|P30DK111024","October 2018","July 2019","November 2019","June 19, 2018","null","October 8, 2018","Emory Dunwoody Clinic, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT03562767"
33,"NCT03556579","The Effects of Contact Lenses With Experimental Dye on Visual Function",,"Recruiting","No Results Available","Ametropia","Device: senofilcon A with new UV blocker|Device: senofilcon A","Light Scattering (Two-point Light Spread Function)|Starbursts|Halos|Photostress Recovery Time (Seconds)|Disability Glare Threshold (Change in log relative energy level)|Discomfort Glare (change in palpebral fissure height (mm))|Heterochromatic Contrast Threshold (HCT)","Johnson & Johnson Vision Care, Inc.","All","18 Years to 65 Years   (Adult, Older Adult)","Not Applicable","66","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","CR-6100","May 15, 2018","August 31, 2018","August 31, 2018","June 14, 2018","null","June 14, 2018","Georgia Center for Sight, Statesboro, Georgia, United States","","https://ClinicalTrials.gov/show/NCT03556579"
34,"NCT03555799","Evaluation of Changes of Venous Return After Spinal and Epidural Analgesia and Anesthesia by Ultrasound Guided Vena Cava Diameter Measurement",,"Recruiting","No Results Available","Pregnancy Related|Hypotension, Orthostatic","Diagnostic Test: Inferior vena cava ultrasound","IVC diameter|Mean arterial pressure|Nausea","Augusta University","Female","18 Years and older   (Adult, Older Adult)","","89","Other","Observational","Observational Model: Other|Time Perspective: Cross-Sectional","1194575","May 18, 2018","May 31, 2019","June 15, 2019","June 14, 2018","null","June 14, 2018","Augusta University, Augusta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT03555799"
35,"NCT03555630","Thromboelastogram in Postdelivery Preeclamptic Patients",,"Recruiting","No Results Available","Preeclampsia|Coagulation Disorder|Pregnancy Complications","Diagnostic Test: Thromboelastogram","R time|K time|Maximum amplitude|LY-30","Augusta University","Female","18 Years and older   (Adult, Older Adult)","","150","Other","Observational","Observational Model: Other|Time Perspective: Cross-Sectional","[1167446","May 22, 2018","October 31, 2019","December 31, 2019","June 13, 2018","null","June 13, 2018","Augusta University, Augusta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT03555630"
36,"NCT03555604","Evaluation of the Effect of Body Mass Index on Gastric Volume With Ultrasound in Term Pregnant Women",,"Recruiting","No Results Available","Pregnancy Related|Aspiration|Airway Aspiration","Diagnostic Test: Gastric ultrasound","Cross sectional area of gastric antrum|BMI|Fasting time","Augusta University","Female","18 Years and older   (Adult, Older Adult)","","50","Other","Observational","Observational Model: Other|Time Perspective: Cross-Sectional","1184342","May 29, 2018","May 31, 2019","June 15, 2019","June 13, 2018","null","June 13, 2018","Augusta University, Augusta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT03555604"
37,"NCT03552146","Evaluating the Effects of Propofol vs. Dexmedetomidine",,"Recruiting","No Results Available","Sedative Adverse Reaction","Drug: Propofol|Drug: Dexmedetomidine","Procedural times to achieve optimal sedation|Sedation related events","Children's Healthcare of Atlanta|Morehouse School of Medicine","All","3 Months to 36 Months   (Child)","","60","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","17-136","July 24, 2018","December 31, 2018","March 31, 2019","June 11, 2018","null","July 25, 2018","Children's Healthcare of Atlanta, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT03552146"
38,"NCT03543878","Stimulating Neural Activity to Improve Blood Flow and Reduce Amyloid: Path to Clinical Trials","FLICKER","Not yet recruiting","No Results Available","Alzheimer Disease","Device: Flicker","Feasibility: amount of time of device use per day.|Tolerability: participant report","Emory University|Georgia Institute of Technology","All","50 Years to 90 Years   (Adult, Older Adult)","Not Applicable","10","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Supportive Care","IRB00101694","October 2018","December 2018","December 2018","June 1, 2018","null","October 1, 2018","12 Executive Park Drive, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT03543878"
39,"NCT03539835","Resistance Training to Improve Fatigue and Physical Function in Postmenopausal Breast Cancer Survivors",,"Recruiting","No Results Available","Cancer","Other: Resistance training (RT)|Behavioral: Cognitively-based compassion training control (CBCT)","Change in fatigue assessed by Multidimensional Fatigue Inventory (MFI) score|Change in depression assessed by Hamilton Depression Rating Scale (HAM-D) score|Change in balance test score|Change in muscle function assessed by Isometric Handgrip test.|Change in muscle function assessed by Lower Extremity Endurance test|Change in muscle function assessed by Lower Extremity Strength test|Change in Timed Up and Go (TUG) completion time|Change in 30 meter walk velocity|Change in Functional Gait Assessment score|Change in 6 min walk distance|Change in Resting Metabolic Rate (RMR)|Change in peroxisome proliferator-activated receptor gamma coactivator 1-alpha (PGC-1α) level|Change in kynurenic acid level|Change in interleukin-6 (IL-6) level|Change in tumor necrosis factor-α (TNF-α) protein level","Emory University","Female","50 Years to 75 Years   (Adult, Older Adult)","Not Applicable","50","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","IRB00103558","October 2018","May 2019","May 2019","May 28, 2018","null","October 12, 2018","Winship Cancer Institute, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT03539835"
40,"NCT03539796","Epidural Technique: Does it Really Matter to the Patient",,"Recruiting","No Results Available","Anesthesia","Procedure: Dural puncture epidurals (DPE)|Procedure: Traditional epidurals (EPI)|Procedure: Combined-spinal epidural technique (CSE)","Percent of patients with Numeric Pain Rating Score (NPRS)<1 in the DPE vs. EPI group|Percent of patients with Numeric Pain Rating Score (NPRS) <3 in the DPE vs. EPI group.|Percent of patients with Numeric Pain Rating Score (NPRS)<1 in the DPE vs. CSE group|Percent of patients required rescue analgesia in the DPE vs. EPI group|Percent of patients required rescue analgesia in the DPE vs. CSE group","Emory University","Female","18 Years to 60 Years   (Adult)","Not Applicable","210","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","IRB00098730","May 26, 2018","November 2018","November 2018","May 28, 2018","null","July 26, 2018","Grady Health System (CRN), Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT03539796"
41,"NCT03538990","Effect of DASH Eating Pattern on Heart Failure Outcomes","DASH HF","Recruiting","No Results Available","Heart Failure NYHA Class III","Other: DASH Eating Pattern","Change in Mean Pulmonary Artery Pressure between Calibration and DASH Diet Intervention Phase|Change in Cardiometabolic Markers between Calibration and DASH Diet Intervention Phase","University of Georgia|Emory University","All","18 Years and older   (Adult, Older Adult)","Not Applicable","36","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","STUDY00005216","June 2018","May 2019","May 2019","May 28, 2018","null","May 28, 2018","University of Georgia Clinical and Translational Research Unit, Athens, Georgia, United States","","https://ClinicalTrials.gov/show/NCT03538990"
